Timestamp (s),ArmDisarm,DesiredSpeed (m/s),LongitudinalSpeed (m/s),LateralSpeed (m/s),MeasuredSpeed (m/s),ObstacleDistance (m),Steering (rad),SystemCmdSpeed (m/s),SystemCmdSteering (rad),YawAngle (rad),YawRate (rad/s),Throttle (%),DataType
0.156667,0,0,0,0,0,2.39408,0.0884928,0,0.0884928,0,0,0,1
0.158333,0,0,0,0,0,2.39408,-0.197398,0,-0.197398,0,0,0,1
0.16,0,0,0,0,0,2.40132,-0.197398,0,-0.197398,0,0,0,1
0.161667,0,0,0,0,0,2.40132,-0.197398,0,-0.197398,0,0,0,1
0.163333,0,0,0,0,0,2.40132,-0.197398,0,-0.197398,0,0,0,1
0.165,0,0,0,0,0,2.40132,-0.197398,0,-0.197398,0,0,0,1
0.166667,0,0,0,0,0,2.40132,-0.197398,0,-0.197398,0,0,0,1
0.168333,0,0,0,0,0,2.40132,-0.197398,0,-0.197398,0,0,0,1
0.17,0,0,0,0,0,0,-0.197398,0,-0.197398,0,0,0,1
0.171667,0,0,0,0,0,0,-0.197398,0,-0.197398,0,0,0,1
0.173333,0,0,0,0,0,0,-0.197398,0,-0.197398,0,0,0,1
0.175,0,0,0,0,0,0,-0.0598993,0,-0.0598993,0,0,0,1
0.176667,0,0,0,0,0,0,-0.0598993,0,-0.0598993,0,0,0,1
0.178333,0,0,0,0,0,0,-0.0598993,0,-0.0598993,0,0,0,1
0.18,0,0,0,0,0,0,-0.0598993,0,-0.0598993,0,0,0,1
0.181667,0,0,0,0,0,0,-0.0598993,0,-0.0598993,0,0,0,1
0.183333,0,0,0,0,0,0,-0.0598993,0,-0.0598993,0,0,0,1
0.185,0,0,0,0,0,0,-0.0598993,0,-0.0598993,0,0,0,1
0.186667,0,0,0,0,0,0,-0.0598993,0,-0.0598993,0,0,0,1
0.188333,0,0,0,0,0,0,-0.0598993,0,-0.0598993,0,0,0,1
0.19,0,0,0,0,0,0,-0.0598993,0,-0.0598993,0,0,0,1
0.191667,0,0,0,0,0,0,-0.0598993,0,-0.0598993,0,0,0,1
0.193333,0,0,0,0,0,0,-0.0598993,0,-0.0598993,0,0,0,1
0.195,0,0,0,0,0,0,-0.0598993,0,-0.0598993,0,0,0,1
0.196667,0,0,0,0,0,0,-0.0598993,0,-0.0598993,0,0,0,1
0.198333,0,0,0,0,0,0,-0.0598993,0,-0.0598993,0,0,0,1
0.2,0,0,0,0,0,2.3533,-0.0184533,0,-0.0184533,0,0,0,1
0.201667,0,0,0,0,0,2.3533,-0.0184533,0,-0.0184533,0,0,0,1
0.203333,0,0,0,0,0,2.3533,-0.0184533,0,-0.0184533,0,0,0,1
0.205,0,0,0,0,0,2.3533,-0.0184533,0,-0.0184533,0,0,0,1
0.206667,0,0,0,0,0,2.3533,-0.0184533,0,-0.0184533,0,0,0,1
0.208333,0,0,0,0,0,2.3533,-0.0184533,0,-0.0184533,0,0,0,1
0.21,0,0,0,0,0,2.34232,-0.0184533,0,-0.0184533,0,0,0,1
0.211667,0,0,0,0,0,2.34232,-0.0184533,0,-0.0184533,0,0,0,1
0.213333,0,0,0,0,0,2.34232,-0.0184533,0,-0.0184533,0,0,0,1
0.215,0,0,0,0,0,2.34232,-0.0184533,0,-0.0184533,0,0,0,1
0.216667,0,0,0,0,0,2.34232,-0.00489101,0,-0.00489101,0,0,0,1
0.218333,0,0,0,0,0,2.34232,-0.00489101,0,-0.00489101,0,0,0,1
0.22,0,0,0,0,0,2.26075,-0.00489101,0,-0.00489101,0,0,0,1
0.221667,0,0,0,0,0,2.26075,-0.00489101,0,-0.00489101,0,0,0,1
0.223333,0,0,0,0,0,2.26075,-0.00489101,0,-0.00489101,0,0,0,1
0.225,0,0,0,0,0,2.26075,-0.00489101,0,-0.00489101,0,0,0,1
0.226667,0,0,0,0,0,2.26075,-0.00489101,0,-0.00489101,0,0,0,1
0.228333,0,0,0,0,0,2.26075,-0.00489101,0,-0.00489101,0,0,0,1
0.23,0,0,0,0,0,2.26699,-0.00489101,0,-0.00489101,0,0,0,1
0.231667,0,0,0,0,0,2.26699,-0.00489101,0,-0.00489101,0,0,0,1
0.233333,0,0,0,0,0,2.26699,-0.00593587,0,-0.00593587,0,0,0,1
0.235,0,0,0,0,0,2.26699,-0.00593587,0,-0.00593587,0,0,0,1
0.236667,0,0,0,0,0,2.26699,-0.00593587,0,-0.00593587,0,0,0,1
0.238333,0,0,0,0,0,2.26699,-0.00593587,0,-0.00593587,0,0,0,1
0.24,0,0,0,0,0,2.32911,-0.00593587,0,-0.00593587,0,0,0,1
0.241667,0,0,0,0,0,2.32911,-0.00593587,0,-0.00593587,0,0,0,1
0.243333,0,0,0,0,0,2.32911,-0.00593587,0,-0.00593587,0,0,0,1
0.245,0,0,0,0,0,2.32911,-0.00593587,0,-0.00593587,0,0,0,1
0.246667,0,0,0,0,0,2.32911,-0.00593587,0,-0.00593587,0,0,0,1
0.248333,0,0,0,0,0,2.32911,-0.00593587,0,-0.00593587,0,0,0,1
0.25,0,0,0,0,0,2.36664,-0.00524089,0,-0.00524089,0,0,0,1
0.251667,0,0,0,0,0,2.36664,-0.00524089,0,-0.00524089,0,0,0,1
0.253333,0,0,0,0,0,2.36664,-0.00524089,0,-0.00524089,0,0,0,1
0.255,0,0,0,0,0,2.36664,-0.00524089,0,-0.00524089,0,0,0,1
0.256667,0,0,0,0,0,2.36664,-0.00524089,0,-0.00524089,0,0,0,1
0.258333,0,0,0,0,0,2.36664,-0.00524089,0,-0.00524089,0,0,0,1
0.26,0,0,0,0,0,2.38218,-0.00524089,0,-0.00524089,0,0,0,1
0.261667,0,0,0,0,0,2.38218,-0.00524089,0,-0.00524089,0,0,0,1
0.263333,0,0,0,0,0,2.38218,-0.00524089,0,-0.00524089,0,0,0,1
0.265,0,0,0,0,0,2.38218,-0.00524089,0,-0.00524089,0,0,0,1
0.266667,0,0,0,0,0,2.38218,-0.0051432,0,-0.0051432,0,0,0,1
0.268333,0,0,0,0,0,2.38218,-0.0051432,0,-0.0051432,0,0,0,1
0.27,0,0,0,0,0,2.36773,-0.0051432,0,-0.0051432,0,0,0,1
0.271667,0,0,0,0,0,2.36773,-0.0051432,0,-0.0051432,0,0,0,1
0.273333,0,0,0,0,0,2.36773,-0.0051432,0,-0.0051432,0,0,0,1
0.275,0,0,0,0,0,2.36773,-0.0051432,0,-0.0051432,0,0,0,1
0.276667,0,0,0,0,0,2.36773,-0.0051432,0,-0.0051432,0,0,0,1
0.278333,0,0,0,0,0,2.36773,-0.0051432,0,-0.0051432,0,0,0,1
0.28,0,0,0,0,0,2.24019,-0.0051432,0,-0.0051432,0,0,0,1
0.281667,0,0,0,0,0,2.24019,-0.0051432,0,-0.0051432,0,0,0,1
0.283333,0,0,0,0,0,2.24019,-0.0051432,0,-0.0051432,0,0,0,1
0.285,0,0,0,0,0,2.24019,-0.0051432,0,-0.0051432,0,0,0,1
0.286667,0,0,0,0,0,2.24019,-0.0051432,0,-0.0051432,0,0,0,1
0.288333,0,0,0,0,0,2.24019,-0.0051432,0,-0.0051432,0,0,0,1
0.29,0,0,0,0,0,2.30414,-0.0051432,0,-0.0051432,0,0,0,1
0.291667,0,0,0,0,0,2.30414,-0.00344893,0,-0.00344893,0,0,0,1
0.293333,0,0,0,0,0,2.30414,-0.00344893,0,-0.00344893,0,0,0,1
0.295,0,0,0,0,0,2.30414,-0.00344893,0,-0.00344893,0,0,0,1
0.296667,0,0,0,0,0,2.30414,-0.00344893,0,-0.00344893,0,0,0,1
0.298333,0,0,0,0,0,2.30414,-0.00344893,0,-0.00344893,0,0,0,1
0.3,0,0,0,0,0,2.30414,-0.00344893,0,-0.00344893,0,0,0,1
0.301667,0,0,0,0,0,2.30414,-0.00344893,0,-0.00344893,0,0,0,1
0.303333,0,0,0,0,0,2.30414,-0.00344893,0,-0.00344893,0,0,0,1
0.305,0,0,0,0,0,2.30414,-0.00344893,0,-0.00344893,0,0,0,1
0.306667,0,0,0,0,0,2.30414,-0.00344893,0,-0.00344893,0,0,0,1
0.308333,0,0,0,0,0,2.30414,-0.00271898,0,-0.00271898,0,0,0,1
0.31,0,0,0,0,0,2.27498,-0.00271898,0,-0.00271898,0,0,0,1
0.311667,0,0,0,0,0,2.27498,-0.00271898,0,-0.00271898,0,0,0,1
0.313333,0,0,0,0,0,2.27498,-0.00271898,0,-0.00271898,0,0,0,1
0.315,0,0,0,0,0,2.27498,-0.00271898,0,-0.00271898,0,0,0,1
0.316667,0,0,0,0,0,2.27498,-0.00271898,0,-0.00271898,0,0,0,1
0.318333,0,0,0,0,0,2.27498,-0.00271898,0,-0.00271898,0,0,0,1
0.32,0,0,0,0,0,2.24746,-0.00271898,0,-0.00271898,0,0,0,1
0.321667,0,0,0,0,0,2.24746,-0.00271898,0,-0.00271898,0,0,0,1
0.323333,0,0,0,0,0,2.24746,-0.00271898,0,-0.00271898,0,0,0,1
0.325,0,0,0,0,0,2.24746,-0.00269136,0,-0.00269136,0,0,0,1
